title,year,activity,agent,label,work_uuid,agent_uuid
3 To Go,1970,hasActor,Peter Colville,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,e75f2b0d-c7ab-41d9-8cf8-a8ae55ec55f6
3 To Go,1970,hasActor,Georgina West,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,f229b35c-b8dd-4ba8-9a58-cce6ccce4196
3 To Go,1970,hasActor,Betty Lucas,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,41a0d1a2-9761-4399-8a78-e988459ebb97
3 To Go,1970,hasActor,Judy McBurney,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,0639585c-7372-4194-9d50-7287898cfc18
3 To Go,1970,hasActor,Rina Ioannou,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,eec254c0-7e0f-40e9-9710-d19f66f73c30
3 To Go,1970,hasActor,Erica Crowne,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,678b9054-fcb7-4829-a6b8-4b5049e47ac1
3 To Go,1970,hasActor,Andrew Pappas,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,4c061c5e-651a-4c06-9e66-5aecfc9441da
3 To Go,1970,hasActor,Joe Hasham,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,9fd2a58a-cad8-40c6-af50-2a08bd58bb5c
3 To Go,1970,hasActor,Gabriel Battikha,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,4ccf3ded-59b2-438c-964b-09f341573876
3 To Go,1970,hasActor,Theo Coulouris,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,acd588c0-157c-4893-98f4-dfd35133ea69
3 To Go,1970,hasActor,Ketty Coulouris,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,d87fe7ab-7c9c-4e1e-a75a-57aa5e38fffd
3 To Go,1970,hasActor,Yaya Lavdeas,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,9a2d770f-e261-4ec6-b270-6bb8905d0ca1
3 To Go,1970,hasDirector,Brian Hannant,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,e7ffef99-a9ed-47ea-9051-5857e379a8c5
3 To Go,1970,hasDirector,Peter Weir,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,a984a651-b674-4128-a6e2-4ca7478e543e
3 To Go,1970,hasDirector,Oliver Howes,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,cce8e62b-124f-4ebc-82e4-0e006a4aeb99
3 To Go,1970,hasProducer,Gil Brealey,3 To Go (1970),a709f1b9-072d-45b7-84dc-1a855bec8130,9a00b290-7d08-4225-b373-22f0fd24add8
88.9 Radio Redfern,1988,hasActor,,88.9 Radio Redfern (1988),fd35be8d-082b-4aaf-9575-026c5a34ebe1,3bdd5a9c-7e58-4ec2-8d80-7405152180cb
88.9 Radio Redfern,1988,hasDirector,Sharon Bell,88.9 Radio Redfern (1988),fd35be8d-082b-4aaf-9575-026c5a34ebe1,7d77e26e-ba2e-4f88-a7a5-396bf0eae14e
88.9 Radio Redfern,1988,hasDirector,Geoff Burton,88.9 Radio Redfern (1988),fd35be8d-082b-4aaf-9575-026c5a34ebe1,27a937ed-32b8-427a-9dc5-5e9415e1d1c9
88.9 Radio Redfern,1988,hasProducer,Sharon Bell,88.9 Radio Redfern (1988),fd35be8d-082b-4aaf-9575-026c5a34ebe1,7d77e26e-ba2e-4f88-a7a5-396bf0eae14e
The A.P.G.&#039;s Dimboola,1973,hasActor,Bruce Spence,The A.P.G.&#039;s Dimboola (1973),3f5c6a61-48ba-48b6-8235-4fc8eb3f1208,9a3c0d73-617d-4891-909b-52cd94920c43
